record_id,sample_original,sample_125,time_sec_original,time_sec_125,symbol,mapped_class,rhythm
108,23,8,0.06388888888888888,0.064,+,RHYTHM,(N
108,88,31,0.24444444444444444,0.248,N,N,
108,442,153,1.2277777777777779,1.224,N,N,
108,789,274,2.191666666666667,2.192,N,N,
108,1155,401,3.2083333333333335,3.208,N,N,
108,1493,518,4.147222222222222,4.144,N,N,
108,1821,632,5.058333333333334,5.056,N,N,
108,2157,749,5.991666666666666,5.992,N,N,
108,2517,874,6.991666666666666,6.992,N,N,
108,2889,1003,8.025,8.024,N,N,
108,3238,1124,8.994444444444444,8.992,N,N,
108,3593,1248,9.980555555555556,9.984,N,N,
108,3924,1362,10.9,10.896,N,N,
108,4105,1425,11.402777777777779,11.4,V,V,
108,4197,1457,11.658333333333333,11.656,x,OTHER,
108,4602,1598,12.783333333333333,12.784,N,N,
108,4971,1726,13.808333333333334,13.808,N,N,
108,5350,1858,14.86111111111111,14.864,N,N,
108,5715,1984,15.875,15.872,N,N,
108,6115,2123,16.98611111111111,16.984,N,N,
108,6479,2250,17.997222222222224,18.0,N,N,
108,6886,2391,19.127777777777776,19.128,N,N,
108,7287,2530,20.241666666666667,20.24,N,N,
108,7687,2669,21.352777777777778,21.352,N,N,
108,8056,2797,22.377777777777776,22.376,N,N,
108,8432,2928,23.42222222222222,23.424,N,N,
108,8804,3057,24.455555555555556,24.456,N,N,
108,9196,3193,25.544444444444444,25.544,N,N,
108,9586,3328,26.627777777777776,26.624,N,N,
108,9924,3446,27.566666666666666,27.568,~,OTHER,
108,9963,3459,27.675,27.672,N,N,
108,10325,3585,28.680555555555557,28.68,N,N,
108,10519,3652,29.219444444444445,29.216,~,OTHER,
108,10696,3714,29.711111111111112,29.712,N,N,
108,10876,3776,30.211111111111112,30.208,V,V,
108,11000,3819,30.555555555555557,30.552,x,OTHER,
108,11453,3977,31.81388888888889,31.816,N,N,
108,11819,4104,32.830555555555556,32.832,N,N,
108,12174,4227,33.81666666666667,33.816,N,N,
108,12509,4343,34.74722222222222,34.744,N,N,
108,12856,4464,35.71111111111111,35.712,N,N,
108,13236,4596,36.766666666666666,36.768,N,N,
108,13644,4738,37.9,37.904,N,N,
108,14073,4886,39.09166666666667,39.088,N,N,
108,14467,5023,40.18611111111111,40.184,N,N,
108,14847,5155,41.24166666666667,41.24,N,N,
108,15222,5285,42.28333333333333,42.28,N,N,
108,15620,5424,43.388888888888886,43.392,N,N,
108,16018,5562,44.49444444444445,44.496,N,N,
108,16403,5695,45.56388888888889,45.56,N,N,
108,16788,5829,46.63333333333333,46.632,N,N,
108,17161,5959,47.669444444444444,47.672,N,N,
108,17534,6088,48.705555555555556,48.704,N,N,
108,17932,6226,49.81111111111111,49.808,N,N,
108,18327,6364,50.90833333333333,50.912,N,N,
108,18685,6488,51.90277777777778,51.904,N,N,
108,19045,6613,52.90277777777778,52.904,N,N,
108,19416,6742,53.93333333333333,53.936,N,N,
108,19802,6876,55.00555555555555,55.008,N,N,
108,20193,7011,56.09166666666667,56.088,N,N,
108,20586,7148,57.18333333333333,57.184,N,N,
108,20942,7272,58.172222222222224,58.176,N,N,
108,21308,7399,59.18888888888889,59.192,N,N,
108,21676,7526,60.21111111111111,60.208,N,N,
108,22054,7658,61.26111111111111,61.264,N,N,
108,22427,7787,62.297222222222224,62.296,N,N,
108,22794,7915,63.31666666666667,63.32,N,N,
108,23189,8052,64.41388888888889,64.416,N,N,
108,23610,8198,65.58333333333333,65.584,N,N,
108,24037,8346,66.76944444444445,66.768,N,N,
108,24454,8491,67.92777777777778,67.928,N,N,
108,24850,8628,69.02777777777777,69.024,N,N,
108,25232,8761,70.08888888888889,70.088,N,N,
108,25617,8895,71.15833333333333,71.16,N,N,
108,25991,9025,72.19722222222222,72.2,N,N,
108,26386,9162,73.29444444444445,73.296,N,N,
108,26787,9301,74.40833333333333,74.408,N,N,
108,27181,9438,75.50277777777778,75.504,N,N,
108,27545,9564,76.51388888888889,76.512,N,N,
108,27926,9697,77.57222222222222,77.576,N,N,
108,28313,9831,78.64722222222223,78.648,N,N,
108,28717,9971,79.76944444444445,79.768,N,N,
108,29100,10104,80.83333333333333,80.832,N,N,
108,29455,10227,81.81944444444444,81.816,N,N,
108,29796,10346,82.76666666666667,82.768,N,N,
108,30150,10469,83.75,83.752,N,N,
108,30545,10606,84.84722222222223,84.848,N,N,
108,30976,10756,86.04444444444445,86.048,N,N,
108,31420,10910,87.27777777777777,87.28,N,N,
108,31855,11061,88.48611111111111,88.488,N,N,
108,32262,11202,89.61666666666666,89.616,N,N,
108,32698,11353,90.82777777777778,90.824,N,N,
108,33121,11500,92.00277777777778,92.0,N,N,
108,33513,11636,93.09166666666667,93.088,N,N,
108,33889,11767,94.1361111111111,94.136,N,N,
108,34259,11895,95.16388888888889,95.16,N,N,
108,34625,12023,96.18055555555556,96.184,N,N,
108,35018,12159,97.27222222222223,97.272,N,N,
108,35414,12297,98.37222222222222,98.376,N,N,
108,35764,12418,99.34444444444445,99.344,N,N,
108,36115,12540,100.31944444444444,100.32,N,N,
108,36473,12664,101.31388888888888,101.312,N,N,
